premise,hypothesis,label,genre,pairID
uh-huh yeah yeah they're good,They are all right but not great.,neutral,telephone,45319e
Splendid! ,The speaker is excited by the situation.,entailment,fiction,90548e
"Ah, yes, actually, two weeks ago we had a very similar situation, the captain alertly added and quickly changed the subject, 'What's important now is that you get ready for about 2 minutes in the state of weightlessness, and not some Slovakian satellite from two weeks ago.",The situation that happened two weeks ago was all that the captain ever wanted to talk about and he refused to change the subject. ,contradiction,fiction,48287c
Sometimes more than one denomination shares one church.,One church always has one denomination.,contradiction,travel,143834c
"Further, given the dynamic environment agencies face, employees need incentives, training, and support to help them continually learn and adapt.",Operating conditions change over time and it is important to ensure that employees receive resources geared toward preparing them to face changes.,entailment,government,43365e
This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed and left with no money or a plane ticket but quickly solved the problem.,neutral,slate,128360n
"But for some recipients, there is a downside to the checks from Anthem Inc., issued to policyholders as part of the insurer's conversion to a publicly traded company.",There is a downside to the checks from Anthem Inc,entailment,government,31369e
"Republican consultants agree that conservative candidates in the South, Southwest, Midwest, and Rocky Mountains will beg for Reed's talents and connections.","Reed's talents will be begged for by people across the country, according to Republicans.",entailment,slate,127395e
"Though he abstains from showbizzy campaigning, he markets his virtue and exploits his legend.","He is capable to market his virtue, exploiting his legend, but fans are starting to get tired of it.",neutral,slate,123895n
"He asserted that the area was blessed with the highest concentration of exactly those natural features that, when combined, create the most pleasing and relaxing vistas possible landscapes composed of  lakes representing the source of life in water, trees offering the promise of shelter, smooth areas providing easy walking and a curved shoreline or path in the distance to stimulate curiosity.  ",He spoke ill of the area's natural features.,contradiction,travel,38784c
"In Roman times a temple to Jupiter stood here, followed in the fourth century by the first Christian church, Saint-Etienne.","Saint-Etienne, a Christian church, had a temple to Jupiter during Roman times.",entailment,travel,103400e
"If I work at it, I might even be able to pick up some endorsements from members of the Sonics.",I need to work hard to accomplish my goals.,neutral,slate,16334n
"Just like we have hairpins and powder-puffs."" Tommy handed over a rather shabby green notebook, and Tuppence began writing busily.",Tommy handed Tuppence an empty shabby green notebook.,neutral,fiction,26372n
"Also, the tobacco executives who told Congress they didn't consider nicotine addictive might now be prosecuted for fraud and perjury.",Some tobacco executives told Congress nicotine is not addictive.,entailment,slate,126766e
"The only comprehensible explanation is that the vocation that had burrowed in next to medicine had taken control, had insisted.",The only explanation is that the job that had been close to medicine had wrestled control of it.,entailment,slate,40708e
Her eyes flashed continually from one window to the other.,There were at least two windows that she could see.,entailment,fiction,108884e
The world ripped apart around them replaced with a world of fear and blood and fire.,They were living in a land filled with turmoil.,entailment,fiction,14300e
no never heard of it,It was a popular type of latex house paint.,contradiction,telephone,36924n
"In the first instance, IRS would have no record of time before the person could get through to an agent and of discouraged callers.",There is no recording of the time for callers.,entailment,government,58557e
no North Carolina State,Yes North Carolina is the state next to Virginia,contradiction,telephone,73518c
There were maybe three hundred people present.,300 people were there.,entailment,fiction,8989e
"For a half millennium or more, Madrid idled as a provincial backwater, rarely noticed on the arid central plains of Castile, until Felipe II plucked it from his royal cap in 1561 and proclaimed it the capital of Spain.",Felipe II decided that Madrid should remain a province.,contradiction,travel,15727c
Decline and Decadence,Decline and decadence have a direct correlation. ,neutral,travel,133433n
"I'm not sentimental, you know."" She paused.",She said that she is always sentimental. ,contradiction,fiction,10003c
And that squatting he does--it's as uncomfortable as it looks.,Squatting is the most comfortable position to be in.,contradiction,slate,94803c
"Some of the unmet needs are among people who can pay, but who are deterred from seeking a lawyer because of the uncertainty about legal fees and their fear of the profession.",Some people can't afford it.,neutral,government,77152e
The spear missed Vrenna by only a hand-span.,The weapon was very sharp.,neutral,fiction,82917n
"With an area of just 541 sq km (209 sq miles), it is slightly smaller than the Isle of Man or twice Martha's Vineyard in Massachusetts.",Martha's Vineyard is four times the size of the Isle of Man.,contradiction,travel,83764c
"The tip was hooked towards the edge, the same way the tips are hammered for knives used for slaughter.",They were fragile and could not leave a scratch. ,contradiction,fiction,121360c
right that's that's supposedly,"Right, possibly.  ",entailment,telephone,25360e
those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,neutral,telephone,118995n
The island has a long history; its marble deposits were coveted around the ancient world.,The island was settled on very recently.,contradiction,travel,139621c
and i'll go there for you know two months straight we won't go anyplace else,I'll go there for two months straight because the attention is amazing.,neutral,telephone,73706n
(Hypothetical data for this example are given in table 2.2.),The days doesn't exist,contradiction,government,126654c
"The unintended side effect is radical, direct  In what other state do voters set the tax rates?",There is a radical side effect that was intended.,contradiction,slate,45442c
"In general, six elements appear  purpose, type of data collected, method of data collection, design, method of data analysis, and reporting.",Purpose is not one of the six elements listed here.,contradiction,government,116552c
"IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs.",IDPA's OIG's mission is clear and cares about payment programs.,entailment,government,98345e
yeah i know because uh all i know is that when i came here in eighty seven they still had uh it was the last year to to put all your punch cards in,"By the time I came here in eighty seven, punch cards were no longer required.",contradiction,telephone,20120c
Per week?,The week is the first in the month.,neutral,slate,64123n
yeah well losing is i mean i'm i'm originally from Saint Louis and Saint Louis Cardinals when they were there were uh a mostly a losing team but,The St. Louis Cardinals were mostly a losing team.,entailment,telephone,54258e
"The good news, however, can be found in reports like this one.",This report contains only bad information and should be destroyed immediately. ,contradiction,government,47260c
It's all right.,It is well.,entailment,fiction,80092e
"Oh, yes, sir. Dorcas was looking very curiously at him and, to tell the truth, so was I. ",He was not the only person that has made us curious.,neutral,fiction,139981n
"In a further role reversal, Gingrich may have positioned himself to fill it.",Gingrich will not fill the position. ,contradiction,slate,86184c
"However unsatisfactory and over-argued the revisionist case, it did make one serious  that the United States had clear national and economic interests and found the Cold War an unusually congenial way to pursue them.","During the Cold War, the United States acted in accordance with its national interests.",entailment,slate,119781e
You wake up one bright autumn morning and you're halfway to the subway when you decide to walk to work instead.,You decide to ride the subway instead of take a stroll to work.,contradiction,slate,114074c
"We're going to try something different this morning, said Jon.",Jon decided to try a new hobby.,neutral,fiction,31641n
"This one-at-a-time, uncoordinated series of regulatory requirements for the power industry is not the optimal approach for the environment, the power generation sector, or American consumers.",It is not the optimal approach.,entailment,government,132936n
The two programs are currently housed in buildings about a block apart.,The reason for the programs' close proximity to each other is the similarities of their programs.,neutral,government,101874n
Such experience better enables the CIOs to work with business managers to build a shared vision for meeting mission needs.,They are able to have the same vision because of their previous involvement. ,entailment,government,113926e
yeah uh-huh oh yeah petting zoos and things,Petting zoos and things related.,entailment,telephone,32005n
yes yeah yeah well it it that's right and it,that's mostly right,neutral,telephone,145291n
Friendly staff.,The staff is friendly.,entailment,travel,114087e
"Of particular significance --the American public has become acutely aware of the hazards to their health, including the risk of mortality, posed by inhalation of fine particles and exposure to mercury through fish consumption.",The consumption of fish is the main way in which mercury poisoning occurs.,neutral,government,126154n
There were beads of perspiration on his brow.,He was perfectly calm and dry as he waited.,contradiction,fiction,74745c
A re-created street of colonial Macau is lined with traditional Chinese shops.,"You'll find plenty of authentic, old-world restaurants on that street.",neutral,travel,7865n
