premise,hypothesis,label,genre,pairID,strat_key
um-hum yeah i saw that for the first time yesterday in the evening,I have seen that many times before.,contradiction,telephone,4107c,telephone_contradiction
"Mack Lee, Body Servant of General Robert E. Lee Through the Civil War , published in 1918.",The Body Servant was Mack Lee.,entailment,slate,96583e,slate_entailment
senior management oversight and approval ofRequired acquisition objectives and plans.,the referenced organization does not have a senior management division.,contradiction,government,6937c,government_contradiction
We did it with the aid of consultants and other equal justice stakeholders.,The help from consultants and other stakeholders was useful in doing it.,entailment,government,140718e,government_entailment
yeah uh-huh oh yeah petting zoos and things,Petting zoos and things related.,entailment,telephone,32005n,telephone_entailment
But there's plenty more.,"It looks like we're running low, but there's plenty more in the next room. ",neutral,travel,81966n,travel_neutral
Sometimes more than one denomination shares one church.,One church always has one denomination.,contradiction,travel,143834c,travel_contradiction
"For a half millennium or more, Madrid idled as a provincial backwater, rarely noticed on the arid central plains of Castile, until Felipe II plucked it from his royal cap in 1561 and proclaimed it the capital of Spain.",Felipe II decided that Madrid should remain a province.,contradiction,travel,15727c,travel_contradiction
The anthropologist Napoleon Chagnon has shown that Yanomamo men who have killed other men have more wives and more offspring than average guys.,Yanomamo men who kill other men have better chances at getting more wives.,entailment,slate,91603n,slate_entailment
but you're without a paycheck during that time and i don't at least that's my understanding is even you know the first time you go for counseling and it's six weeks before you're back to work,You don't have a paycheck for six week if you go.,entailment,telephone,130884e,telephone_entailment
Criminal discovered in last chapter. ,Criminal discovered in the last part.,entailment,fiction,14556e,fiction_entailment
"No, don't answer.",Don't respond. ,entailment,fiction,31263e,fiction_entailment
"I'm not sentimental, you know."" She paused.",She said that she is always sentimental. ,contradiction,fiction,10003c,fiction_contradiction
"'We can't find him, Benjamin,' Lincoln/Natalia said.",Lincoln/Natalia and Benjamin found him quite easily.,contradiction,fiction,52800c,fiction_contradiction
"For instance, mandatory account proposals are more likely to increase private saving because such a program would require households that do not currently save-such as many low-income individuals or families-to place some amount in an individual account.",People who dont voluntarily save money are less likely to have bank accounts.,neutral,government,92163n,government_neutral
"Shortly after stepping out on the bridge, Jon felt the entire walkway narrow.","Shortly after stepping out on the bridge, Jon felt the wobbly walkway narrow.",neutral,fiction,21520n,fiction_neutral
 The leaves of the papyrus were dried and used by Ancient Egyptians as a form of paper.,There was no paper-like object used by Ancient Egyptians.,contradiction,travel,26701c,travel_contradiction
Because the paper did not say that.,The paper did not explain that.,entailment,slate,37662n,slate_entailment
Many restaurants and bars have live music.,Many restaurants and bars have live music 7 nights a week.,neutral,travel,117511n,travel_neutral
"If I work at it, I might even be able to pick up some endorsements from members of the Sonics.",I need to work hard to accomplish my goals.,neutral,slate,16334n,slate_neutral
"On my honour, I will hang him as high as Haman!""",I will not hang him.,contradiction,fiction,79485c,fiction_contradiction
"And, although I got a Ph.D. in philosophy many years ago and have thought and read about these matters ever since, heaven (or whatever) knows I don't have too many answers that I feel confident about.",I don't know about this subject because it is so complicated.,neutral,slate,75955n,slate_neutral
and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a  with a pull tractor on it so i don't have to push so hard,Buying him a power mower would probably help him finish the job sooner.,entailment,telephone,140900e,telephone_entailment
"According to the Natural Resources Conservation Service, this single, voluntary program will provide flexible technical, financial, and educational assistance to farmers and ranchers who face serious threats to soil, water, and related natural resources on agricultural and other lands, including grazing lands, wetlands, forest lands, and wildlife habitats.",Farmers and ranchers must have all of their licenses and permits to qualify. ,neutral,government,52545n,government_neutral
"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",Lolani was built in only 1 year.,neutral,travel,49807n,travel_neutral
Gerth's prize-winning articles do not mention a CIA report concluding that U.S. security was not harmed by the 1996 accident review.,Gerth talks at length about the important CIA report.,contradiction,slate,133923c,slate_contradiction
Such experience better enables the CIOs to work with business managers to build a shared vision for meeting mission needs.,They are able to have the same vision because of their previous involvement. ,entailment,government,113926e,government_entailment
"Hey, no problem, a fine policy.","No worries, a good policy.",entailment,slate,92664e,slate_entailment
"Despite their many similarities, Koreans and Japanese have long been mutually hostile and have pointed to the vast differences between their languages as proof that they lack a shared ancestry.","Koreans and Japanese have been mutually hostile for a long time, but are now trying to be mutually peaceful.",neutral,slate,140672n,slate_neutral
no i i just painted,I just painted a huge mural depicting a tiger empaling a small dog. ,neutral,telephone,51943n,telephone_neutral
"Long ago--or away, or whatever--there was a world called Thar?? and another called Erath.",A long time ago there were two worlds called Thar and Erath.,entailment,fiction,134240e,fiction_entailment
And these are tough times for reviewers in general.,Specialist reviewers or reviewers with seniority are having an easier time of it.,neutral,slate,53415n,slate_neutral
you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can defend themselves easily.,contradiction,telephone,64336c,telephone_contradiction
The spear missed Vrenna by only a hand-span.,The weapon was very sharp.,neutral,fiction,82917n,fiction_neutral
You wake up one bright autumn morning and you're halfway to the subway when you decide to walk to work instead.,You decide en route to turn west and walk instead.,neutral,slate,114074n,slate_neutral
right well the preseason really doesn't mean anything either,"Right,the preseason is not really important either.",entailment,telephone,9646e,telephone_entailment
"In America, his colleagues are mostly defeated (Miss Mudd, his predecessor on his first job, has retired early in disgust) when they aren't sadistic.","When his colleagues aren't sadistic, they are mostly defeated, so that is why the system is changing.",neutral,slate,117154n,slate_neutral
"From here it's all through the charming hillside village of Saint-Claude, with its upper-income homes, and on toward the summit or as far as the gendarmes are allowing traffic to proceed that day.",The gendarmes pay no attention to the flow of traffic.,contradiction,travel,23338c,travel_contradiction
"His ruthless campaigns resulted in more than 600,000 Irish dead or deported.","500,000 Irish died and 100,000 were deported due to his ruthless campaigns.",neutral,travel,31208n,travel_neutral
"Diamonds are graded from D to X, with only D, E, and F considered good, D being colorless or  river white,  J  slightly tinted,  Q  light yellow,  and S to X  yellow.  ","Diamonds are rated alphabetically, the ones from D to F are considered the best.",entailment,travel,25833e,travel_entailment
because uh i know people who eat tons of that kind of stuff and they're just as healthy as can be,"People who eat unhealthy foods are not sick are lucky, so far.",neutral,telephone,145485n,telephone_neutral
He said the Web site will help bridge the digital divide that keeps the poor from using the Internet as a resource.,He was telling us that the website is designed to make it harder for the poor to get online. ,contradiction,government,49091c,government_contradiction
and not only that it it opens you to phone solicitations,It also opens the door to move marketing calls.,entailment,telephone,17660e,telephone_entailment
"On your right is the entrance to the 16th-century Sandal Bedesten, with lovely brick vaults supported on massive stone pillars.",We will not be able to show you the entrance to the Sandal Bedesten because of construction.,contradiction,travel,116582c,travel_contradiction
"Where do you think she can be, Sir James?"" The lawyer shook his head.",Do you think she left?,neutral,fiction,30450n,fiction_neutral
John Kasich dropped his presidential bid.,John Kasich dropped out of the presidential race.,entailment,slate,65470e,slate_entailment
no never heard of it,It was a popular type of latex house paint.,contradiction,telephone,36924n,telephone_contradiction
Court officials include the phone numbers of the local Legal Services office and county lawyer referral system on every summons.,Court officials include the phone numbers of legal aid departments because it will help those who can't afford to pay lawyers.,neutral,government,137951n,government_neutral
